capability,reference,inspected_release,source,metric,representation,algorithm_variant,riemtorch_status,evidence,limitations
derivative_diagnostics,Manopt,official tools inspected; HEAD in source-lock,https://www.manopt.org/tools.html,declared manifold metric,tensor; product; compact factors,duality; tangent; retraction; gradient/Hessian Taylor; adjoints,verified,test-diagnostics-upgrade; test-upgrade-stress,finite differences give evidence; unsupported second-order paths inconclusive
hessian_spectrum,Manopt,official tools inspected; HEAD in source-lock,https://www.manopt.org/tools.html,metric self-adjoint Hessian,matrix-free tangent vectors,Lanczos with reorthogonalization and Ritz residuals,verified,test-diagnostics-upgrade,extremal estimates do not certify global spectral extremes
CG_and_quasi_Newton,ROPTLIB; Manopt,official solver overview; revisions in source-lock,https://www.math.fsu.edu/~whuang2/ROPTLIBnew.htm,selected manifold metric,tensor; product; compact,PR+/FR/HS+/DY; transported L-BFGS; BB1/BB2,verified,test-smooth-upgrade; test-solver-evidence,no ROPTLIB runtime comparison; transports need not be isometric
smooth_Newton,ROPTLIB; Manopt,official solver overview; revisions in source-lock,https://www.manopt.org/solvers.html,exact metric Hessian,supported tensor/products,preconditioned Steihaug tCG; Newton-CG,verified,test-smooth-upgrade; test-solver-evidence,requires verified Hessian or explicit rhess; not global optimum certification
robust_least_squares,Manopt.jl,stable documentation inspected; HEAD in source-lock,https://manoptjl.org/stable/solvers/LevenbergMarquardt/,metric adjoint with residual weights,real vector residual,linear; Huber; soft-L1; Cauchy; PSD robust Gauss-Newton,verified,test-smooth-upgrade; independent SciPy Huber comparisons,nonquadratic losses allow diagonal weights only; GN omits rho second derivative
variance_reduction,R-SVRG; R-SRG,2017/2018 original algorithms,https://proceedings.mlr.press/v80/kasai18a.html,base metric and declared transport,finite sums,snapshot SVRG; recursive SRG with refresh,verified,test-smooth-upgrade,snapshot transport must be endpoint-compatible; no convergence claim for every transport
solver_controls,Manopt; Manopt.jl,official tools and solver docs inspected,https://www.manopt.org/tools.html,metric gradients,single point,fused value/gradient; counters; budgets; detached callbacks; multistart,verified,test-smooth-upgrade,one resolved device; sequential multistart; time checks between operations
batching,Geoopt; Manifolds.jl,Geoopt 0.5.0-labelled docs; HEAD locked separately,https://geoopt.readthedocs.io/en/latest/manifolds.html,selected real metrics,leading batch axes distinct from power factors,native kernels with pointwise fallback,verified,test-batching-native; test-upgrade-stress,not every primitive is natively vectorized
streamed_evaluation,Geoopt,0.5.0-labelled docs; HEAD locked separately,https://geoopt.readthedocs.io/en/latest/optimizers.html,full finite-sum metric gradient/HVP,tensor/product,running detached accumulators and streamed index ranges,verified,test-diagnostics-upgrade; development/benchmarks/upgrade/evidence/memory.csv,full differentiable values retain graphs; sampled RSS is not exact tensor memory
real_geometry_extensions,Manifolds.jl; Manopt,official geometry catalogs inspected,https://www.manopt.org/manifolds.html,log-Euclidean; Frobenius; Fisher; fixed scaled metrics,positive tensors; affine; O(n); positive doubly stochastic; power,exact maps where provided; Sinkhorn retraction for doubly stochastic,verified,test-smooth-upgrade; test-upgrade-stress,interior domains and numerical rank thresholds enforced
compact_fixed_rank,Pymanopt,2.2.1 source inspected and executed,https://pymanopt.org/docs/stable/_modules/pymanopt/manifolds/fixed_rank.html,embedded Frobenius,U S V transpose with full invertible core; separate tangent,small QR/SVD retraction; endpoint projection transport,verified,test-smooth-upgrade; test-upgrade-stress; Pymanopt matrix completion,dense materialization optional; automatic Hessian unqualified; not a diagonal-only S chart
exact_frame_maps,Manifolds.jl; Pymanopt,official docs inspected,https://juliamanifolds.github.io/Manifolds.jl/stable/,canonical Grassmann; Euclidean/canonical Stiefel,real frame; Grassmann projector,matrix-exponential Stiefel/Grassmann; local Grassmann log,verified,test-smooth-upgrade,cut loci rejected; map value support separate from derivative order
canonical_Stiefel_Hessian,Manopt; Manifolds.jl,official metric catalogs inspected,https://www.manopt.org/manifolds.html,canonical Stiefel,real orthonormal frame,connection-corrected ambient Hessian conversion,verified,test-smooth-upgrade; test-math-expansion,polar retraction is not declared second order for canonical metric
adaptive_training,Geoopt,0.5.0-labelled docs inspected,https://geoopt.readthedocs.io/en/latest/optimizers.html,factorwise metric adaptation,tensor; repeated power factors,RAdam; AMSGrad; accumulated-norm AdaGrad; Armijo,verified,test-training-complex-upgrade; test-optim-serialization,one variance per factor; not ambient coordinatewise Adam; deterministic search closures
sparse_training,Geoopt,0.5.0-labelled sparse docs inspected,https://geoopt.readthedocs.io/en/latest/optimizers.html,Euclidean; round sphere; hyperbolic,row-wise real embeddings,coalesced lazy SGD/Adam; row-local clocks,verified,test-training-complex-upgrade,untouched rows/state invariant; dense/sparse layouts cannot be mixed
managed_training,Geoopt,training integration comparison,https://geoopt.readthedocs.io/en/latest/optimizers.html,metric clipping,torch modules and data loaders,validation; accumulation; scheduler; resumable epoch/data state,verified,test-training-complex-upgrade; test-scalable-training,epoch-boundary resume only; caller owns data/scheduler hook state
complex_first_order,Manopt; Pymanopt,catalog inspected; Pymanopt 2.2.1 executed,https://www.manopt.org/manifolds.html,real Hermitian inner product,complex Euclidean; sphere; phase; Stiefel; Grassmann; unitary,conjugate transpose; real scalar objectives,verified,test-training-complex-upgrade; phase synchronization benchmark,complex Stiefel Euclidean metric only; Grassmann frame only
complex_Hessians,Manopt; Pymanopt,geometry catalog and autodiff comparison,https://pymanopt.org/docs/stable/api-reference.html,real Hermitian,complex Euclidean; sphere; phase,second-order torch autodiff plus intrinsic conversion,verified,test-training-complex-upgrade,complex frame/unitary automatic Hessians unsupported until qualified
constraints,Manopt.jl,stable augmented-Lagrangian docs inspected,https://manoptjl.org/stable/solvers/augmented_Lagrangian_method/,base manifold metric,equalities h=0 and inequalities g<=0,Powell-Hestenes-Rockafellar with smooth inner solvers,verified,test-broader-optimization; SciPy SLSQP benchmarks,local KKT test; explicit inner status; no global optimum claim
intrinsic_proximal_gradient,Manopt.jl,stable intrinsic algorithm docs inspected,https://manoptjl.org/stable/solvers/proximal_gradient_method/,declared manifold distance,Euclidean; affine; log-Euclidean positive/SPD; hyperbolic and wrappers,unaccelerated exponential step and intrinsic prox,verified,test-broader-optimization,prox callback must solve the distance subproblem; other geometries experimental
cyclic_proximal_point,Manopt.jl,stable cyclic method docs inspected,https://manoptjl.org/stable/solvers/cyclic_proximal_point/,declared manifold distance,lists of values and proximal maps,"cyclic order; diminishing steps exponent in (0.5,1]",verified,test-broader-optimization,small cycle residual alone does not imply stationarity
experimental_solvers,Manopt; Pymanopt,audit in development/competitors/audit.md,https://www.manopt.org/solvers.html,geometry dependent,tensor/frame,approximate cubic; local simplex; transported swarm; cooling annealing; MACG,experimental,test-solver-evidence; audit.md,heuristic or approximate contracts retained; no false solver parity
original_geometry_inventory,Riemann; GeoJAX,Riemann 0.1.7; GeoJAX pinned revision,https://www.kisungyou.com/Riemann/,explicitly matched original metrics,aliases and equivalent representations listed separately,independent reference fixtures and source audit,verified,test-reference-fixtures; inst/coverage/source-lock.yml,constructor counts are not counts of distinct spaces
CUDA_and_MPS,Geoopt,torch backend comparison,https://geoopt.readthedocs.io/en/latest/optimizers.html,operation-specific compatibility,one device per run,automatic selection; explicit override; cached precision/operation probes,awaiting_hardware_validation,development/qualification/devices.R,no local GPU hardware execution; no silent runtime device changes
distributed_AMP_sampling,Geoopt and broader ecosystem,outside requested roadmap,https://geoopt.readthedocs.io/,not applicable,not applicable,not implemented,unsupported,scope definition,also excludes differentiation through complete optimization runs
