geometry_id,metric,method,derivative,device,dtype,status,evidence,qualification
G01,euclidean,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G02,round,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G03,round,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G04,column_round,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G05,fisher_rao,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G06,poincare; negative curvature,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G07,lorentz; negative curvature,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G08,flat_angles,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G09,canonical,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G10,euclidean,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G11,canonical,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G12,projection_half_frobenius,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
G13,B_euclidean,steepest_descent,ambient reverse-mode,cpu,float64,verified,test-solver-evidence: every geometry decreases a custom scalar objective,local smooth domain; no blanket higher-order claim
